"Condition
",Condition Category,Code,Code Description,Code System,Code System Version,Planned Update,NNC Code,Content Release
Viral Hemorrhagic Fever (VHF),Zoonotic Diseases,240523007,Viral hemorrhagic fever (disorder),SNOMEDCT,2024-09,,11640 Crimean-Congo hemorrhagic fever; 11630 Ebola hemorrhagic fever; 11644 Lujo virus; 11637 Machupo hemorrhagic fever ; 11631 Marburg fever; 11639 Sabia-associated hemorrhagic fever; 11638 Junín hemorrhagic fever; 11648 Guanarito hemorrhagic fever; 11632 Lassa fever; 11649  Chapare hemorrhagic fever,Previously released condition - Updated NNC Code
West Nile Virus Infection,Vectorborne Diseases,417093003,Disease caused by West Nile virus (disorder),SNOMEDCT,2024-09,,"10056 West Nile virus disease, neuroinvasive; 10049 West Nile virus disease, non-neuroinvasive",Previously released condition
Western equine encephalitis virus disease,Vectorborne Diseases,47523006,Western equine encephalitis (disorder),SNOMEDCT,2024-09,,"10052 Western equine encephalitis virus disease, neuroinvasive; 10065 Western equine encephalitis virus disease, non-neuroinvasive",Previously released condition
Work-related Asthma (WRA),Respiratory Conditions (non-infectious),57607007,Occupational asthma (disorder),SNOMEDCT,2024-09,,,Previously released condition
Yellow fever,Vectorborne Diseases,16541001,Yellow fever (disorder),SNOMEDCT,2024-09,,10660 Yellow fever ,Previously released condition
Zika Virus Disease,Vectorborne Diseases,3928002,Zika virus disease (disorder),SNOMEDCT,2024-09,,"50224 Zika virus disease, congenital; 50223 Zika virus disease, non-congenital",Previously released condition
Anencephaly,Birth Defects and Infant Disorders,89369001,Anencephalus (disorder),SNOMEDCT,2024-09,,,Previously released condition
Angiostrongyliasis,Zoonotic Diseases,61750000,Infection caused by Angiostrongylus (disorder),SNOMEDCT,2024-09,,,Previously released condition
Bartonellosis,Vectorborne Diseases,266123003,Bartonellosis (disorder),SNOMEDCT,2024-09,,,Previously released condition
Baylisascariasis,Zoonotic Diseases,93614002,Infection caused by Baylisascaris procyonis (disorder),SNOMEDCT,2024-09,,,Previously released condition
Cleft Lip Alone,Birth Defects and Infant Disorders,80281008,Cleft lip (disorder),SNOMEDCT,2024-09,,,Previously released condition
Cleft Palate Alone,Birth Defects and Infant Disorders,87979003,Cleft palate (disorder),SNOMEDCT,2024-09,,,Previously released condition
Cleft Lip with Cleft Palate,Birth Defects and Infant Disorders,66948001,Cleft palate with cleft lip (disorder),SNOMEDCT,2024-09,,,Previously released condition
Cyanobacteria And Cyanotoxin Poisoning,Toxic Effect of Non-Medicinal Substances ,41439009,Microcystis flos-aquae poisoning (disorder),SNOMEDCT,2024-09,,,Previously released condition
Diphyllobothriasis,Zoonotic Diseases,187151009,Diphyllobothriasis (disorder),SNOMEDCT,2024-09,,,Previously released condition
Down Syndrome,Birth Defects and Infant Disorders,41040004,Complete trisomy 21 syndrome (disorder),SNOMEDCT,2024-09,,,Previously released condition
Echinococcosis,Parasitic Diseases,74942003,Echinococcosis (disorder),SNOMEDCT,2024-09,,,Previously released condition
Gastroschisis,Birth Defects and Infant Disorders,72951007,Gastroschisis (disorder),SNOMEDCT,2024-09,,,Previously released condition
Genital Warts,Sexually Transmitted Diseases,266113007,Genital warts (disorder),SNOMEDCT,2024-09,,,Previously released condition
"Hepatitis C Virus Infection, Perinatal",Bloodborne Diseases,551611000124101,Perinatal hepatitis caused by Hepatitis C virus (disorder),SNOMEDCT,2024-09,,"50248 Hepatitis C, perinatal infection",Previously released condition
Hepatitis D Virus Infection,Bloodborne Diseases,707341005,Viral hepatitis type D (disorder),SNOMEDCT,2024-09,,,Previously released condition
Prion Disease (Human),Neurological Diseases,20484008,Prion disease (disorder),SNOMEDCT,2024-09,,,Previously released condition
Infant Hearing Loss,Birth Defects and Infant Disorders,95821001,Neonatal hearing loss (disorder),SNOMEDCT,2024-09,,,Previously released condition
Influenza-Associated Mortality,Vaccine Preventable Diseases,661761000124109 ,Death associated with influenza (event),SNOMEDCT,2024-09,,,Previously released condition
Jamestown Canyon virus disease,Vectorborne Diseases,41723001,Jamestown Canyon virus disease (disorder),SNOMEDCT,2024-09,,"10078 Jamestown Canyon virus disease, neuroinvasive; 10079 Jamestown Canyon virus disease, non-neuroinvasive",Previously released condition - Updated NNC Code
Keystone virus disease,Vectorborne Diseases,404237007,Keystone virus encephalitis (disorder),SNOMEDCT,2024-09,,"11712 Keystone virus disease
",Previously released condition
La Crosse virus disease,Vectorborne Diseases,61094002,La Crosse encephalitis (disorder),SNOMEDCT,2024-09,,"10081 La Crosse virus disease, neuroinvasive; 10082 La Crosse virus disease, non-neuroinvasive",Previously released condition - Updated NNC Code
Limb Reduction,Birth Defects and Infant Disorders,67341007,Longitudinal deficiency of limb (disorder),SNOMEDCT,2024-09,,,Previously released condition
Lymphocytic Choriomeningitis,Zoonotic Diseases,721781004,Infection caused by Lymphocytic choriomeningitis virus (disorder),SNOMEDCT,2024-09,,,Previously released condition
Methemoglobinemia,Systemic Conditions,38959009,Methemoglobinemia (disorder),SNOMEDCT,2024-09,,,Previously released condition
Multisystem Inflammatory Syndrome in Adults (MIS-A),Systemic Conditions,1119306006,Multisystem inflammatory syndrome in adults (disorder),SNOMEDCT,2024-09,,11066 Multisystem Inflammatory Syndrome (MIS) associated with Coronavirus Disease 2019 (COVID-19),Previously released condition
Nongonococcal Urethritis,Sexually Transmitted Diseases,84619001,Nongonococcal urethritis (disorder),SNOMEDCT,2024-09,,,Previously released condition
Pelvic Inflammatory Disease,Sexually Transmitted Diseases,198130006,Female pelvic inflammatory disease (disorder),SNOMEDCT,2024-09,,,Previously released condition
Phenylketonuria,Birth Defects and Infant Disorders,190687004,Phenylketonuria (disorder),SNOMEDCT,2024-09,,,Previously released condition
Primary Congenital Hypothyroidism,Birth Defects and Infant Disorders,190268003,Congenital hypothyroidism (disorder),SNOMEDCT,2024-09,,,Previously released condition
Snowshoe hare virus disease,Vectorborne Diseases,404236003,Snowshoe hare virus encephalitis (disorder),SNOMEDCT,2024-09,,11734 Snowshoe hare virus disease,Previously released condition
Spina Bifida,Birth Defects and Infant Disorders,67531005,Spina bifida (disorder),SNOMEDCT,2024-09,,,Previously released condition
"Streptococcal disease, invasive, Group B",Streptococcal Diseases,406612005,Invasive Group B beta-hemolytic streptococcal disease (disorder),SNOMEDCT,2024-09,,"11715 Streptococcal disease, invasive, group B (Streptococcus agalactiae)",Previously released condition
Strongyloidiasis,Parasitic Diseases,1214006,Infection caused by Strongyloides (disorder),SNOMEDCT,2024-09,,12036 Strongyloidiasis,Previously released condition
Tick Paralysis,Vectorborne Diseases,74225001,Tick paralysis (disorder),SNOMEDCT,2024-09,,,Previously released condition
Trivittatus virus disease,Vectorborne Diseases,240507007,Trivittatus fever (disorder),SNOMEDCT,2024-09,,11724 Trivittatus virus disease,Previously released condition
Influenza,Vaccine Preventable Diseases,43692000,Influenzal acute upper respiratory infection (disorder),SNOMEDCT,2024-09,,,Previously released condition
Respiratory Syncytial Virus (RSV),Respiratory Conditions (infectious),6415009,Human respiratory syncytial virus (organism),SNOMEDCT,2024-09,,,Previously released condition
Neonatal Abstinence Syndrome,Birth Defects and Infant Disorders,414819007,Neonatal abstinence syndrome (disorder),SNOMEDCT,2024-09,,,Previously released condition
Invasive Cronobacter Infection Among Infants,Systemic Conditions,444664004,Genus Cronobacter (organism),SNOMEDCT,2024-09,,13060 Invasive Cronobacter infection among infants,Previously released condition
Congenital cytomegalovirus (cCMV) infection and disease,Birth Defects and Infant Disorders,59527008,Congenital cytomegalovirus infection (disorder),SNOMEDCT,2024-09,,"13050 Congenital cytomegalovirus, infection; 13051 Congenital cytomegalovirus, disease",Previously released condition
Atrioventricular septal defect (Endocardial cushion defect),Birth Defects and Infant Disorders,1237074000,Congenital atrioventricular septal defect (disorder),SNOMEDCT,2024-09,,,Previously released condition
Coarctation of the Aorta,Birth Defects and Infant Disorders,7305005,Coarctation of aorta (disorder),SNOMEDCT,2024-09,,,Previously released condition
Double Outlet Right Ventricle (DORV),Birth Defects and Infant Disorders,7484005,Double outlet right ventricle (disorder),SNOMEDCT,2024-09,,,Previously released condition
Ebstein Anomaly,Birth Defects and Infant Disorders,204357006,Ebstein's anomaly of tricuspid valve (disorder),SNOMEDCT,2024-09,,,Previously released condition
Hypoplastic Left Heart Syndrome (HLHS),Birth Defects and Infant Disorders,62067003,Hypoplastic left heart syndrome (disorder),SNOMEDCT,2024-09,,,Previously released condition
Interrupted Aortic Arch,Birth Defects and Infant Disorders,218728005,Interrupted aortic arch (disorder),SNOMEDCT,2024-09,,,Previously released condition
Pulmonary Valve Atresia and Stenosis,Birth Defects and Infant Disorders,204339005,Congenital pulmonary valve abnormality (disorder),SNOMEDCT,2024-09,,,Previously released condition
Single Ventricle,Birth Defects and Infant Disorders,45503006,Common ventricle (disorder),SNOMEDCT,2024-09,,,Previously released condition
Tetralogy of Fallot (TOF),Birth Defects and Infant Disorders,86299006,Tetralogy of Fallot (disorder),SNOMEDCT,2024-09,,,Previously released condition
Total Anomalous Pulmonary Venous Connection (TAPVC),Birth Defects and Infant Disorders,111323005,Total anomalous pulmonary venous return (disorder),SNOMEDCT,2024-09,,,Previously released condition
Transposition of the Great Arteries (TGA),Birth Defects and Infant Disorders,204296002,Discordant ventriculoarterial connection (disorder),SNOMEDCT,2024-09,,,Previously released condition
Tricuspid Valve Atresia and Stenosis,Birth Defects and Infant Disorders,4374004,Congenital anomaly of tricuspid valve (disorder),SNOMEDCT,2024-09,,,Previously released condition
Truncus Arteriosus (Common Truncus),Birth Defects and Infant Disorders,61959006,Common truncus arteriosus (disorder),SNOMEDCT,2024-09,,,Previously released condition
Anophthalmia,Birth Defects and Infant Disorders,7183006,Anophthalmos (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Anotia,Birth Defects and Infant Disorders,57436000,Congenital absence of external ear (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Aortic valve stenosis,Birth Defects and Infant Disorders,18546004,Congenital stenosis of aortic valve (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Atrial septal defect,Birth Defects and Infant Disorders,405752007,Congenital atrial septal defect (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Bladder Exstrophy,Birth Defects and Infant Disorders,61758007,Exstrophy of urinary bladder sequence (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Choanal Atresia,Birth Defects and Infant Disorders,204508009,Choanal atresia (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Cloacal Exstrophy,Birth Defects and Infant Disorders,20815007,Exstrophy of cloaca sequence (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Congenital Posterior Urethral Valves,Birth Defects and Infant Disorders,253900005,Congenital posterior urethral valves (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Encephalocele,Birth Defects and Infant Disorders,55999004,Encephalocele (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Galactosemia,Birth Defects and Infant Disorders,190745006,Galactosemia (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Hypospadias,Birth Defects and Infant Disorders,416010008,Hypospadias (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Microphthalmia,Birth Defects and Infant Disorders,61142002,Microphthalmos (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Microtia,Birth Defects and Infant Disorders,35045004,Microtia (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Renal Agenesis and Hypoplasia,Birth Defects and Infant Disorders,32659003,Congenital hypoplasia of kidney (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Trisomy 13,Birth Defects and Infant Disorders,21111006,Complete trisomy 13 syndrome (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Trisomy 18,Birth Defects and Infant Disorders,51500006,Complete trisomy 18 syndrome (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
Ventricular septal defect,Birth Defects and Infant Disorders,768552007,Congenital ventricular septal defect (disorder),SNOMEDCT,2024-09,,,New Condition February 2025
